Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Lightweight,30,455
Weightlifting at the 1996 Summer Olympics - Men's Middle Heavyweight 83-91 kg,40,730
Swimming at the 2008 Summer Olympics - Men's 100 metre freestyle,46,698
Swimming at the 1924 Summer Olympics - Women's 100 metre freestyle,8,51
Weightlifting at the 2008 Summer Olympics - Women's 69 kg,46,718
Judo at the 2000 Summer Olympics - Women's 70 kg,42,589
Wrestling at the 2004 Summer Olympics - Men's Freestyle Lightweight,44,643
Boxing at the 2004 Summer Olympics - Heavyweight,44,446
Athletics at the 1932 Summer Olympics – Men's 100 metres,13,312
Alpine skiing at the 2002 Winter Olympics – Women's combined,43,449
Swimming at the 1976 Summer Olympics - Women's 4 x 100 metre medley relay,30,50
Alpine Skiing at the 2006 Winter Olympics - Men's Downhill,45,411
Athletics at the 2004 Summer Olympics - Men's Triple Jump,44,641
Wrestling at the 1980 Summer Olympics - Men's freestyle Super Heavyweight,32,678
Speed Skating at the 1928 Winter Olympics - Men's 10000m,10,737
Wrestling at the 2004 Summer Olympics - Men's Freestyle Welterweight,44,397
Wrestling at the 1980 Summer Olympics - Men's Greco-Roman 52 kg,32,677
Gymnastics at the 2008 Summer Olympics - Women's Balance Beam,46,707
Archery at the 2000 Summer Olympics - Women's individual,42,487
Weightlifting at the 1952 Summer Olympics - Men's Heavyweight +90 kg,18,134
Nordic Combined at the 1948 Winter Olympics - Individual,17,136
Cross Country Skiing at the 1992 Winter Olympics -Women's 10km pursuit,38,540
Cross-Country Skiing at the 2002 Winter Olympics - 20km  Pursuit (10km + 10km),43,204
Short Track Speed Skating at the 1994 Winter Olympics - Women's 1000m,39,300
Short Track Speed Skating at the 1994 Winter Olympics - Women's 1000m,39,778
Speed Skating at the 1992 Winter Olympics - Men's 500m,38,219
Speed Skating at the 1992 Winter Olympics - Men's 500m,38,769
Shooting at the 2004 Summer Olympics - Women's 10 metre Air Pistol,44,207
Boxing at the 1948 Summer Olympics - Light Heavyweight,16,382
Gymnastics at the 1980 Summer Olympics – Men's Floor Exercises,32,511
Judo at the 1976 Summer Olympics - Men's Half Middleweight (70kg),30,595
Fencing at the 1956 Summer Olympics - Women's Foil; Individual,20,65
Tennis at the 2000 Summer Olympics - Women's Singles,42,470
