Iocode,event,medal,medalist
ITA,Fencing at the 1936 Summer Olympics - Men's Épée; Individual,1,Franco Riccardi
GER,Alpine skiing at the 1952 Winter Olympics - Women's downhill,2,Annemarie Buchner
USA,Wrestling at the 1924 Summer Olympics - Men's Freestyle Featherweight,2,Chester Newton
FRA,Fencing at the 1900 Summer Olympics - Men's amateurs-masters épée,3,Léon Sée
POL,Athletics at the 1936 Summer Olympics – Women's 100 metres,2,Stanis?awa Walasiewicz
CAN,Wrestling at the 1928 Summer Olympics - Men's Freestyle Middleweight,2,Donald Parker Stockton
CAN,Wrestling at the 1928 Summer Olympics - Men's Freestyle Welterweight,3,Maurice E. Letchford
GBR,Athletics at the 1928 Summer Olympics - Men's 100 metres,2,Jack London
NOR,Cross-Country Skiing at the 1964 Winter Olympics - Men's 15km,2,Harald Grønningen
SWE,Modern Pentathlon at the 1928 Summer Olympics - Men's Individual,1,Sven Thofelt
TCH,Athletics at the 1968 Summer Olympics - Women's High Jump,1,Miloslava Rezková
URS,Wrestling at the 1960 Summer Olympics - Men's Greco-Roman Featherweight,3,Konstantin Vyrupayev
IRL,Athletics at the 1984 Summer Olympics - Men's Marathon,2,John Treacy
URS,Fencing at the 1960 Summer Olympics - Women's Foil; Individual,2,Valentina Rastvorova
NZL,Canoeing at the 1984 Summer Olympics - Men's K-1 500 metres,1,Ian Ferguson
USA,Athletics at the 1932 Summer Olympics - Women's discus throw,2,Ruth Osborn
URS,Gymnastics at the 1980 Summer Olympics – Women's Balance Beam,3,Natalia Shaposhnikova
ITA,Weightlifting at the 1956 Summer Olympics - Men's Middleweight 67.5-75 kg,3,Ermanno Pignatti
USA,Wrestling at the 1932 Summer Olympics - Men's Freestyle Light Heavyweight,1,Peter Mehringer
ITA,Alpine Skiing at the 1976 Winter Olympics - Men's Slalom,2,Gustav Thöni
USA,Gymnastics at the 1932 Summer Olympics - Men's rings,2,William Thomas Denton
UTA,Wrestling at the 1992 Summer Olympics - Men's freestyle Light Heavyweight,1,Makharbek Khadartsev
UTA,Judo at the 1992 Summer Olympics - Men's Half Heavyweight (95kg),3,Dmitri Sergeev
