Iocode,event,medal,medalist
ITA,Cross-country skiing at the 2006 Winter Olympics - 4 x 5 Km relay,3,Arianna Follis;Antonella Confortola;Gabriella Paruzzi;Sabina Valbusa
USA,Volleyball at the 2008 Summer Olympics - Women's volleyball,2,Ogonna Nnamani;Lindsey Berg;Danielle Scott-Arruda;Nicole Davis;Heather Bown;Stacy Sykora;Jennifer Joines;Tayyiba Haneef;Logan Tom;Robyn Ah Mow-Santos;Kim Glass;Kim Willoughby
AUS,Volleyball at the 2004 Summer Olympics - Women's Beach Volleyball,,Kerri Pottharst;Summer Lochowicz
,Weightlifting at the 2008 Summer Olympics - Men's Bantamweight -56 kg,,Masaharu Yamada
GER,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Oswald Rathmann
USA,Athletics at the 2004 Summer Olympics - Men's Decathlon,2,Bryan Clay
GBR,Athletics at the 2008 Summer Olympics - Men's high jump,2,Germaine Mason
USA,Rowing at the 2004 Summer Olympics - Men's Eight,1,Peter Cipollone
ISR,Sailing at the 2004 Summer Olympics - Men's sailboard,1,Gal Fridman
FRA,Wrestling at the 2008 Summer Olympics - Men's Greco-Roman Lightweight,1,Steeve Guenot
GBR,Cycling at the 2008 Summer Olympics - Women's individual pursuit,2,Wendy Houvenaghel
USA,Diving at the 1984 Summer Olympics - Women's 3 metre springboard,2,Kelly McCormick
FRA,Weightlifting at the 2008 Summer Olympics - Men's Lightweight 62-69 kg,2,Vencelas Dabaya
USA,Volleyball at the 2004 Summer Olympics - Women's Beach Volleyball,3,Holly McPeak;Elaine Youngs
URS,Diving at the 1980 Summer Olympics - Women's 10 metre platform,2,Servard Emirzian
USA,Diving at the 1984 Summer Olympics - Men's 3 metre springboard,3,Ronald Marshall Merriott
AUS,Swimming at the 2004 Summer Olympics - Women's 4 x 100 metre freestyle relay,1,Jodie Henry;Alice Mills;Sarah Ryan;Petria Thomas;Libby Lenton
IRL,Athletics at the 1956 Summer Olympics - Men's 1500 metres,1,Ron Delany
USA,Softball at the 2008 Summer Olympics,2,
GBR,Cycling at the 2008 Summer Olympics - Men's Keirin,1,Chris Hoy
ARG,Cycling at the 2008 Summer Olympics - Men's Madison,1,Walter Fernando Perez;Juan Curuchet
ZIM,Swimming at the 2008 Summer Olympics - Women's 400 metre Individual Medley,2,Kirsty Coventry
,Athletics at the 2008 Summer Olympics - Women's 400 metres,,Tatyana Firova
JAM,Athletics at the 2008 Summer Olympics - Men's 200 metres,1,Usain Bolt
BRA,Volleyball at the 1996 Summer Olympics - Women's beach volleyball,2,Monica Rodrigues;Adriana Samuel
,Weightlifting at the 2008 Summer Olympics - Men's Bantamweight -56 kg,,Sergio Rada
CUB,Volleyball at the 1996 Summer Olympics - Men's volleyball,,Lazaro Martín;Ricardo Vantes;Joel Despaigne;Angel Beltrán;Nicolas Vives;Jhosvany Hernández;Alexis Batle;Fredy Brooks;Raúl Diago;Rodolfo Sanchez;Alain Roca;Osvaldo Hernández
AUT,Cross-Country Skiing at the 1998 Winter Olympics - Men's 50km Freestyle,3,Christian Hoffmann
AUT,Volleyball at the 2008 Summer Olympics - Men's beach volleyball,,Peter Gartmayer;Clemens Doppler
BRA,Volleyball at the 1996 Summer Olympics - Women's volleyball,3,Virna Dias;Marcia Fu Cunha;Hélia Souza;Fernanda Venturini;Ana Paula Connelly;Ana Beatriz Moser;Ana Ida Alvares;Sandra Suruagy;Hilma Caldeira;Leila Barros;Ana Flavia Sanglard;Ericleia Bodziak
USA,Gymnastics at the 1992 Summer Olympics – Women's artistic individual all-around,3,Shannon Miller
CHN,Judo at the 2008 Summer Olympics – Women's 52 kg,1,Xian Dongmei
CAN,Rowing at the 2008 Summer Olympics - Men's lightweight coxless four,3,Daniel Liam Parsons;Jon Beare;Iain Brambell;Mike Lewis
CHN,Gymnastics at the 2008 Summer Olympics - Men's Horizontal Bar,1,Zou Kai
USA,Diving at the 1976 Summer Olympics - Men's 10 metre platform,2,Greg Louganis
KEN,Athletics at the 2008 Summer Olympics - Women's 800 metres,2,Janeth Jepkosgei
RUS,Diving at the 2008 Summer Olympics – Men's synchronized 10 metre platform,3,Gleb Galperin;Dmitriy Dobroskok
UZB,Gymnastics at the 2008 Summer Olympics - Men's parallel bars,3,Anton Fokin
AUT,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Adolf Kofler
DEN,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Godtfred Olsen
USA,Ice hockey at the 2010 Winter Olympics – Women's tournament,2,Jocelyne Lamoureux;Julie Chu;Jinelle Zaugg-Siergiej;Natalie Darwitz;Kerry Weiland;Molly Schaus;Karen Thatcher;Jessie Vetter;Molly Engstrom;Brianne McLaughlin;Gigi Marvin;Jenny Potter;Kacey Bellamy;Meghan Duggan;Erika Lawler;Hilary Knight;Monique Lamoureux;Caitlin Cahow;Kelli Stack;Angela Ruggiero
CAN,Freestyle skiing at the 2010 Winter Olympics – Men's moguls,1,Alexandre Bilodeau
KOR,Figure skating at the 2010 Winter Olympics – Ladies' singles,1,Yu-Na Kim
CHN,Diving at the 2004 Summer Olympics - Men's 3 metre springboard,1,Peng Bo
WGE,Judo at the 1972 Summer Olympics - Men's Heavyweight  (+93),2,Klaus Glahn
URS,Weightlifting at the 1968 Summer Olympics - Men's Featherweight 56-60 kg,2,Dito Shanidze
CUB,Wrestling at the 2000 Summer Olympics - Men's freestyle Middleweight,2,Yoel Romero
USA,Ice hockey at the 2002 Winter Olympics – Women’s Team,2,Angela Ruggiero
TPE,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,3,Yi-Hang Kuo
GBR,Athletics at the 1984 Summer Olympics - Men's 10000 metres,2,Mike McLeod
GDR,Swimming at the 1988 Summer Olympics – Men's 200 metre backstroke,2,Frank Baltrusch
BUL,Judo at the 2004 Summer Olympics - Men's Half Lightweight (66 kg),3,Georgi Georgiev
WGE,Athletics at the 1984 Summer Olympics - Women's shot put,1,Claudia Losch
NGR,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2,Ruth Ogbeifo
BLR,Weightlifting at the 2004 Summer Olympics - Women's 63 kg,2,Hanna Batsiushka
JPN,Gymnastics at the 1968 Summer Olympics – Men's horizontal bar,3,Eizo Kenmotsu
BLR,Athletics at the 2000 Summer Olympics - Women's heptathlon,3,Natallia Sazanovich
HUN,Canoeing at the 2004 Summer Olympics - Women's K-1 500 metres,1,Natasa Janics
PRK,Boxing at the 2000 Summer Olympics - Light Flyweight,3,Kim Un-chol
CAN,Cycling at the 2000 Summer Olympics - Men's cross-country,,Geoff Kabush
,Sailing at the 2008 Summer Olympics - Star class,,Austin Sperry
URS,Athletics at the 1960 Summer Olympics - Women's 80m Hurdles,1,Irina Press
BRA,Athletics at the 1956 Summer Olympics - Men's triple jump,1,Adhemar da Silva
ESP,Swimming at the 1988 Summer Olympics – Men's 200 metre breaststroke,3,Sergio López Miró
URS,Gymnastics at the 1960 Summer Olympics – Men's horizontal bar,3,Boris Shakhlin
VEN,Cycling at the 1952 Summer Olympics - Men's sprint,,Luis Toro
POL,Boxing at the 1972 Summer Olympics - Flyweight,3,Leszek B?a?y?ski
NOR,Biathlon at the 2002 Winter Olympics - Men's 20 km Individual,1,Ole Einar Bjørndalen
KOR,Archery at the 2004 Summer Olympics - Women's individual,1,Sung Hyun Park
URS,Modern Pentathlon at the 1972 Summer Olympics - Men's Individual,3,Pavel Lednyov
URS,Athletics at the 1972 Summer Olympics - Men's Hammer Throw,1,Anatoly Bondarchuck
URS,Athletics at the 1960 Summer Olympics - Women's javelin throw,3,Birute Kalediene
USA,Athletics at the 1948 Summer Olympics – Men's 200 metres,1,Melvin Emery Patton
BUL,Wrestling at the 1964 Summer Olympics - Men's Freestyle Light Heavyweight,3,Said Mustafov Cherifov
WGE,Athletics at the 1984 Summer Olympics - Men's hammer throw,2,Karl-Hans Riehm
POL,Boxing at the 1968 Summer Olympics - Flyweight,2,Artur Olech
EUA,Fencing at the 1964 Summer Olympics - Women's Foil; Individual,2,Helga Margot Mees-Volz
FRA,Shooting at the 1988 Summer Olympics - Men's 10 metre air rifle,2,Nicolas Berthelot
FRA,Gymnastics at the 1984 Summer Olympics - Men's Floor Exercises,3,Philippe Vatuone
ITA,Boxing at the 1964 Summer Olympics - Welterweight,3,Silvano Bertini
ITA,Athletics at the 1984 Summer Olympics - Men's Long Jump,3,Giovanni Evangelisti
USA,Gymnastics at the 2004 Summer Olympics - Women's artistic individual all-around,1,Carly Patterson
FRA,Fencing at the 2004 Summer Olympics - Men's Foil; Individual,1,Brice Guyart
GBR,Shooting at the 1984 Summer Olympics - Men's 50 metre rifle; three positions,1,Malcolm Cooper
CMR,Athletics at the 2004 Summer Olympics - Women's Triple Jump,1,Françoise Mbango Etone
USA,Athletics at the 1964 Summer Olympics - Men's discus throw,3,Dave Weill
CUB,Athletics at the 2004 Summer Olympics - Women's Hammer Throw,3,Yunaika Crawford
JPN,Wrestling at the 1964 summer Olympics - Men's Freestyle Flyweight,1,Yoshikatsu Yoshida
WGE,Cycling at the 1984 Summer Olympics - Men's  Individual Pursuit,2,Rolf Gölz
JPN,Judo at the 2000 Summer Olympics - Men's 100 kg,1,Kosei Inoue
FRA,Judo at the 1988 Summer Olympics - Men's Half Lightweight (65kg),3,Bruno Carabetta
POL,Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Heavyweight,1,Andrzej Wro?ski
ROU,Wrestling at the 1984 Summer Olympics - Men's Greco-Roman Super Heavyweight,3,Victor Dolipschi
USA,Short Track Speed Skating at the 2006 Winter Olympics – Men's 1000m,3,Apolo Anton Ohno
KOR,Weightlifting at the 2004 Summer Olympics - Women's +75 kg,2,Jang Mi-Ran
RUS,Gymnastics at the 2000 Summer Olympics – Women's Balance Beam,2,Yekaterina Lobaznyuk
AUS,Athletics at the 2000 Summer Olympics - Men's Long Jump,2,Jai Taurima
RUS,Shooting at the 2004 Summer Olympics - Men's 10 metre running target,2,Alexander Blinov
USA,Athletics at the 1964 Summer Olympics - Women's 100 metres,2,Edith McGuire
ITA,Gymnastics at the 1996 Summer Olympics – Men's rings,1,Jury Chechi
GER,Equestrian at the 2004 Summer Olympics - Dressage; Individual,2,Ulla Salzgeber
AUS,Athletics at the 1964 Summer Olympics - Women's 400 metres,1,Betty Cuthbert
FRA,Fencing at the 1964 Summer Olympics - Men's Foil; Individual,2,Jean-Claude Magnan
BLR,Cycling at the 2004 Summer Olympics - Women's Time Trial,3,Natallia Tsylinskaya
CZE,Athletics at the 2000 Summer Olympics - Men's decathlon,2,Roman Šebrle
NED,Swimming at the 2000 Summer Olympics - Women's 100 metre butterfly,1,Inge de Bruijn
KOR,Boxing at the 1964 Summer Olympics - Bantamweight,2,Sin-Jo Chong
GDR,Swimming at the 1988 Summer Olympics - Women's 50 metre freestyle,1,Kristin Otto
USA,Swimming at the 1964 Summer Olympics – Women's 100 metre freestyle,3,Kathleen Ellis
IVB,Sailing at the 1988 Summer Olympics - Finn class,2,Peter Holmberg
POR,Cycling at the 2004 Summer Olympics - Men's individual road race,2,Sérgio Paulinho
AUS,Swimming at the 2000 Summer Olympics - Men's 1500 metre freestyle,2,Kieren Perkins
CAN,Cycling at the 1984 Summer Olympics - Men's 1000m Time Trial,2,Curtis Harnett
BRA,Sailing at the 2000 Summer Olympics - Open Laser Class,2,Robert Scheidt
CUB,Judo at the 2000 Summer Olympics - Women's 70 kg,1,Sibelis Veranes
POL,Weightlifting at the 1964 summer Olympics - Men's Lightweight 60-67.5 kg,1,Waldemar Baszanowski
USA,Gymnastics at the 1984 Summer Olympics – Men's pommel horse,1,Peter Vidmar
CUB,Boxing at the 2000 Summer Olympics - Light Welterweight,3,Diógenes Luna
NOR,Canoeing at the 2004 Summer Olympics - Men's K-1 1000 metres,1,Eirik Verås Larsen
CHI,Cycling at the 1952 Summer Olympics - Men's sprint,,Hernán Masanés
KOR,Swimming at the 2008 Summer Olympics - Men's 400 metre freestyle,1,Park Tae Hwan
CAN,Diving at the 1984 Summer Olympics - Women's 3 metre springboard,1,Sylvie Bernier
URS,Diving at the 1980 Summer Olympics - Men's 10 metre platform,2,Vladimir Aleinik
CHN,Shooting at the 2008 Summer Olympics - Men's 50 metre pistol,2,Tan Zongliang
POL,Gymnastics at the 2008 Summer Olympics - Men's Vault,1,Leszek Blanik
ITA,Fencing at the 2008 Summer Olympics - Women's team foil,3,Valentina Vezzali;Ilaria Salvatori;Giovanna Trillini;Margherita Granbassi
NOR,Biathlon at the 2006 Winter Olympics – Men's mass start,3,Ole Einar Bjørndalen
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Maria Martins
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Jasminka Guber
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Kanchhi Maya Koju
JPN,Volleyball at the 2008 Summer Olympics - Women's volleyball,,Erika Araki;Yuko Sano;Saori Kimura;Sachiko Sugiyama;Megumi Kurihara;Miyuki Takahashi;Kanako Omura;Yuka Sakurai;Yuki Kawai;Asako Tajimi;Miyuki Kano;Yoshie Takeshita
USA,Volleyball at the 1984 Summer Olympics - Women's volleyball,2,Flo Hyman
USA,Swimming at the 2000 Summer Olympics - Women's 4x100 metre medley relay,1,Jenny Thompson
POL,Volleyball at the 1996 Summer Olympics - Men's volleyball,,Mariusz Szyszko;Robert Prygiel;Krzystof Smigiel;Andrzej Stelmach;Marcin Andrzej Nowak;Krzystof Janczak;Krzystof Stelmach;Leszek Urbanowicz;Pawe? Zagumny;Witold Roman;Damian Dacewicz;Piotr Gruszka
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Carrie Tollefson
FRA,Biathlon at the 2002 Winter Olympics - Men's 4 x 7.5 km Relay,3,Gilles Marguet;Vincent Defrasne;Raphaël Poirée;Julien Robert
ARG,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,,Mariano Baracetti;Martín Conde
CUB,Taekwondo at the 2000 Summer Olympics - Women's 49 kg,2,Urbia Melendez
ROU,Fencing at the 2000 Summer Olympics; Men's Sabre; Individual,1,Mihai Covaliu
MEX,Boxing at the 1988 Summer Olympics - Flyweight,3,Mario González
CHN,Table Tennis at the 2000 Summer Olympics Men's Singles,1,Kong Linghui
EGY,Boxing at the 2004 Summer Olympics - Heavyweight,3,Mohamed Elsayed
WGE,Wrestling at the 1984 Summer Olympics - Men's Greco-Roman Light Flyweight,2,Markus Scherer
RUS,Athletics at the 2004 Summer Olympics - Men's 50 km Walk,3,Aleksey Voyevodin
RUS,Judo at the 2004 Summer Olympics - Men's Half Middleweight (81 kg),3,Dmitri Nossov
BUL,Athletics at the 2000 Summer Olympics Triple Jump Women,1,Tereza Marinova
CAN,Taekwondo at the 2000 Summer Olympics - Women's +67 kg,3,Dominique Bosshart
ITA,Athletics at the 1996 Summer Olympics - Women's 10 km walk,2,Elisabetta Perrone
URS,Shooting at the 1988 Summer Olympics - Women's 50 metre rifle; three positions,3,Valentina Cherkasova
ITA,Shooting at the 2000 Summer Olympics - Men's Trap,3,Giovanni Pellielo
USA,Swimming at the 2000 Summer Olympics - Men's 200 metre backstroke,2,Aaron Peirsol
KOR,Table Tennis at the 2004 Summer Olympics - Men's Singles,1,Ryu Seung Min
CUB,Boxing at the 2004 Summer Olympics - Lightweight,1,Mario Kindelan
ZIM,Swimming at the 2004 Summer Olympics - Women's 200 metre Individual Medley,3,Kirsty Coventry
ITA,Sailing at the 1996 Summer Olympics - Women's Sailboard,3,Alessandra Sensini
URS,Athletics at the 1972 Summer Olympics - Men's Triple Jump,1,Viktor Saneyev
CHN,Shooting at the 2000 Summer Olympics - Men's 10 metre air pistol,2,Wang Yifu
JPN,Judo at the 2004 Summer Olympics - Women's 78 kg,1,Noriko Anno
RUS,Athletics at the 2004 Summer Olympics - Women's Long Jump,3,Tatyana Kotova
WGE,Swimming at the 1984 Summer Olympics - Women's 400 metre Individual Medley,3,Petra Zindler
AUS,Archery at the 2000 Summer Olympics - Men's individual,1,Simon Fairweather
DEN,Shooting at the 2000 Summer Olympics - Men's 50 metre rifle; prone,2,Torben Grimmel
RUS,Judo at the 2004 Summer Olympics - Men's Middleweight (90 kg),3,Khasanbi Taov
URS,Weightlifting at the 1972 Summer Olympics - Men's Super Heavyweight +110 kg,1,Vasiliy Alekseyev
USA,Boxing at the 2000 Summer Olympics - Light Welterweight,2,Ricardo Williams
JPN,Cycling at the 1952 Summer Olympics - Men's sprint,,Kihei Tomioka
HUN,Modern pentathlon at the 1964 Summer Olympics - Men's Individual,1,Ferenc Török
BLR,Rowing at the 2004 Summer Olympics - Women's Single Sculls,2,Ekaterina Karsten
URS,Gymnastics at the 1968 Summer Olympics – Women's floor,1,Larissa Petrik
POL,Swimming at the 2004 Summer Olympics - Women's 200 metre butterfly,1,Otylia J?drzejczak
SUI,Shooting at the 1984 Summer Olympics - Men's 50 metre rifle; three positions,2,Daniel Nipkow
RUS,Athletics at the 2004 Summer Olympics - Men's Triple Jump,3,Danila Burkenya
USA,Athletics at the 1964 Summer Olympics - Men's 200 metres,1,Henry Carr
RSA,Swimming at the 2000 Summer Olympics - Men's 200 metre breaststroke,2,Terence Parkin
URS,Gymnastics at the 1988 Summer Olympics – Women's uneven bars,3,Yelena Shushunova
URS,Athletics at the 1988 Summer Olympics - Men's hammer throw,3,Jüri Tamm
FRA,Equestrian at the 1964 Summer Olympics - Individual jumping,1,Pierre Jonquères d'Oriola
ITA,Cycling at the 1952 Summer Olympics - Men's sprint,1,Enzo Sacchi
VIE,Cycling at the 1952 Summer Olympics - Men's individual road race,,Quan Luu
IRI,Weightlifting at the 2000 Summer Olympics - Men's Super Heavyweight +105kg,1,Hossein Reza Zadeh
GDR,Canoeing at the 1972 Summer Olympics - Men's slalom K-1,3,Harald Gimpel
GEO,Judo at the 2004 Summer Olympics - Men's Middleweight (90 kg),1,Zurab Zviadauri
USA,Boxing at the 1964 Summer Olympics - Lightweight,3,Ronald Allen Harris
USA,Boxing at the 1984 Summer Olympics - Light Flyweight,1,Paul Gonzales
AUS,Swimming at the 2000 Summer Olympics - Men's 1500 metre freestyle,1,Grant Hackett
USA,Shooting at the 1964 summer Olympics - Men's 50 metre rifle; three positions,1,Lones Wigger
BLR,Shooting at the 2000 Summer Olympics - Men's 50 metre pistol,2,Igor Basinski
CAN,Short track speed skating at the 2006 Winter Olympics – Men's 5000 metre relay,2,Charles Hamelin;Éric Bédard;Jonathan Guilmette;Mathieu Turcotte;François-Louis Tremblay
USA,Boxing at the 1984 Summer Olympics - Light Heavyweight,3,Evander Holyfield
NZL,Equestrian at the 1984 Summer Olympics - Individual Eventing,1,Mark Todd
KAZ,Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Super Heavyweight,2,Georgiy Tsurtsumia
GDR,Athletics at the 1988 Summer Olympics - Men's 1500 metres,3,Jens-Peter Herold
TUR,Wrestling at the 1964 summer Olympics - Men's Greco-Roman Lightweight,1,Kaz?m Ayvaz
USA,athletics at the 1968 Summer Olympics - Men's Discus Throw,1,Al Oerter
TUN,Athletics at the 1964 Summer Olympics - Men's 10000 metres,2,Mohammed Gammoudi
GBR,Athletics at the 1936 Summer Olympics – Women's high jump,2,Dorothy Tyler-Odam
GRE,Weightlifting at the 1996 Summer Olympics - Men's First Heavyweight  91-99 kg,1,Kakhi Kakhiashvili
GER,Gymnastics at the 1904 Summer Olympics - Men's triathlon,3,Wilhelm Weber
RSA,Cycling at the 1912 Summer Olympics - Men's individual time trial,1,Rudolph Lewis
URS,Athletics at the 1972 Summer Olympics - Women's 1500 metres,1,Lyudmila Bragina
URS,Gymnastics at the 1968 Summer Olympics – Men's parallel bars,3,Viktor Klimenko
RUS,Athletics at the 2004 Summer Olympics - Women's Long Jump,2,Irina Simagina
AUS,Swimming at the 1964 Summer Olympics – Men's 1500 metre freestyle,3,Allan Wood
AUS,Judo at the 2000 Summer Olympics - Women's 57 kg,3,Maria Pekli
TRI,Swimming at the 2004 Summer Olympics - Men's 200 metre individual medley,3,George Bovell
USA,Swimming at the 1968 Summer Olympics – Men's 100 metre butterfly,1,Douglas Russell
GDR,Swimming at the 1988 Summer Olympics – Women's 200 metre individual medley,1,Daniela Hunger
CHN,Short Track Speed Skating at the 2006 Winter Olympics - Women's 1000m,2,Wang Meng
NOR,Nordic combined at the 2006 Winter Olympics – Individual Gundersen,3,Magnus Moan
TUR,Weightlifting at the 2000 Summer Olympics - Men's Bantamweight -56 kg,1,Halil Mutlu
GEO,Judo at the 2004 Summer Olympics - Men's Extra Lightweight (-60 kg),2,Nestor Khergiani
URS,Athletics at the 1968 Summer Olympics - Women's High Jump,3,Valentina Kozyr
RUS,Athletics at the 2000 Summer Olympics - Women's heptathlon,2,Yelena Prokhorova
CHN,Diving at the 2004 Summer Olympics - Women's 10 metre platform,2,Lao Lishi
