teamID,iocCode,name,rank,team,eventID,gameID,disciplineID
240,URS,Athletics at the 1956 Summer Olympics - Women's Discus Throw,3,Nina Romashkova,82,20,196
241,POL,Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Light Heavyweight,2,Jacek Fafi?ski,242,40,517
242,GER,Biathlon at the 2006 Winter Olympics – Women's mass start,3,Uschi Disl,76,45,768
243,GDR,Rowing at the 1980 Summer Olympics - Women's Single Sculls,3,Martina Schröter,142,32,124
244,SWE,Shooting at the 2000 Summer Olympics - Men's 50 metre rifle; prone,1,Jonas Edman,24,42,52
245,CHN,Archery at the 2012 Summer Olympics – Women's team,2,Fang Yuting;Cheng Ming;Xu Jing,280,48,749
246,POL,Weightlifting at the 2012 Summer Olympics – Men's 85 kg,1,Adrian Zieli?ski,227,48,703
247,JPN,Speed skating at the 1998 Winter Olympics - Women's 500m,3,Tomomi Okazaki,288,41,69
248,SWE,Biathlon at the 2006 Winter Olympics – Women's mass start,1,Anna Carin Olofsson,76,45,768
249,JPN,Wrestling at the 2004 Summer Olympics - Women's Freestyle Heavyweight,3,Kyoko Hamaguchi,262,44,145
250,BEL,Cycling at the 2000 Summer Olympics - Men's individual road race,,Axel Merckx,214,42,149
