teamID, name
3344,Paulo Henrique Chagas de Lima
3344,Givanildo Vieira de Souza
3344,Sandro Ranieri Guimarães Cordeiro
3344,Rômulo Borges Monteiro
3345,Jessica Hardy
3345,Amanda Weir
3345,Lia Neal
3345,Allison Schmitt
3345,Natalie Coughlin
3345,Missy Franklin
3349,Saija Sirvio
3349,Venla Hovi
3349,Linda Välimäki
3349,Saara Tuominen
3349,Emma Laaksonen
3349,Jenni Hiirikoski
3349,Karoliina Rantamäki
3349,Annina Rajahuhta
3349,Mariia Posa
3349,Minnamari Tuominen
3349,Michelle Karvinen
3349,Anna Anhatalo
3349,Mira Kuisma
3349,Nina Tikkinen
3349,Noora Raty
3349,Anne Helin
3349,Marjo Voutilainen
3349,Heidi Pelttari
3350,Yosenki García
3350,Leonel Marshall Borges
3350, Jr.
3350,Nicolas Vives
3350,Ihosvany Hernández
3350,Osvaldo Hernández
3350,Ramón Gato
3350,Alexei Argilagos
3350,Alain Roca
3350,Iván Ruíz
3350,Pavel Pimienta
3350,Angel Dennis
3350,Raúl Diago
3361,Ulrike Schmidt
3361,Gudi Staub
3362,Judith Sylvester
3362,Kathy Radzuweit
3362,Tanja Hart
3362,Kerstin Tzscherlich
3362,Christiane Fürst
3362,Christina Benecke
3362,Angelina Grün
3362,Atika Bouagaa
3362,Birgit Thumm
3362,Julia Schlecht
3362,Cornelia Dumler
3362,Olessya Kulakova
3363,Andrea Giani
3363,Andrea Sartoretti
3363,Marco Meoni
3363,Luigi Mastrangelo
3363,Marco Bracci
3363,Samuele Papi
3363,Alessandro Fei
3363,Simone Rosalba
3363,Andrea Gardini
3363,Paolo Tofoli
3363,Pasquale Gravina
3363,Mirko Corsano
3364,Tian Jia
3364,Jingkun Zhang
3386,Juana Saviñon
3386,Francia Jackson
3386,Yudelkys Bautista
3386,Cosiri Rodriguez
3386,Alexandra Caso
3386,Juana Miguelina Gonzalez
3386,Sofia Mercedes
3386,Milagros Cabral
3386,Annerys Vargas
3386,Prisilla Rivera
3386,Kenya Moreta
3386,Evelyn Carrera
3387,Laura Bruschini
3387,Annamaria Solazzi
3389,Daniel Liam Parsons
3389,Jon Beare
3389,Iain Brambell
3389,Mike Lewis
3390,Jocelyne Lamoureux
3390,Julie Chu
3390,Jinelle Zaugg-Siergiej
3390,Natalie Darwitz
3390,Kerry Weiland
3390,Molly Schaus
3390,Karen Thatcher
3390,Jessie Vetter
3390,Molly Engstrom
3390,Brianne McLaughlin
3390,Gigi Marvin
3390,Jenny Potter
3390,Kacey Bellamy
3390,Meghan Duggan
3390,Erika Lawler
3390,Hilary Knight
3390,Monique Lamoureux
3390,Caitlin Cahow
3390,Kelli Stack
3390,Angela Ruggiero
3401,Mikko Koivu
3401,Petteri Nummelin
3401,Antti-Jussi Niemi
3401,Olli Jokinen
3401,Niko Kapanen
3401,Niklas Hagman
3401,Ville Nieminen
3401,Jarkko Ruutu
3401,Teppo Numminen
3401,Jere Lehtinen
3401,Jukka Hentunen
3401,Aki Berg
3401,Jussi Jokinen
3401,Saku Koivu
3401,Sami Salo
3401,Kimmo Timonen
3401,Lasse Kukkonen
3401,Toni Lydman
3401,Antti Laaksonen
3431,Nikola Grbi?
3431,Vladimir Batez
3431,Veljko Petkovi?
3431,Slobodan Kova?
3431,Ivan Miljkovi?
3431,Vladimir Grbi?
3431,?ula Mešter
3431,Igor Vušurovi?
3431,Slobodan Boškan
3431,Vasa Miji?
3431,Andrija Geri?
3431,Goran Vujevi?
3432,Bea Daly
3432,Renae Maycock
3432,Louise Bawden
3432,Selina Scoble
3432,Angela Clarke
3432,Rachel White
3432,Priscilla Ruddle
3432,Majella Brown
3432,Sandi Bowen
3432,Tamsin Hinchley
3432,Christie Mokotupu
3432,Liz Brett
3433,Petia Yanchulova
3433,Tzvetelina Yanchulova
3455,Cate Campbell
3455,Yolane Kukla
3455,Alicia Coutts
3455,Melanie Schlanger
3455,Libby Lenton
3455,Brittany Elmslie
3455,Emily Seebohm
3463,Danja Müsch
3463,Maike Friedrichsen
3464,Maria Gkaragkouni
3464,Eleni Kiosi
3464,Rouxantra-Kon Ntoumitreskou
3464,Ioanna Vlachou
3464,Eleftheria Chatzinikou
3464,Charikleia Sakkoula
3464,Georgia Tzanakaki
3464,Sofia Iordanidou
3464,Eleni Memetzi
3464,Niki Gkaragkouni
3464,Zanna Proniadou
3464,Vasiliki Papazoglou
3467,Anja-Nadin Pietrek
3467,Christina Schultz
3467,Judith Flemig
3467,Christina Benecke
3467,Tanja Hart
3467,Judith Sylvester
3467,Angelina Grün
3467,Sylvia Roll
3467,Susanne Lahme
3467,Beatrice Doemeland
3467,Kerstin Tzscherlich
3467,Hanka Pachale
3505,Alexei Kazakov
3505,Ilya Savelyev
3505,Valery Goryouchev
3505,Vadim Khamuttskikh
3505,Konstantin Ushakov
3505,Igor Choulepov
3505,Roman Yakovlev
3505,Sergey Tetyukhin
3505,Aleksandr Gerasimov
3505,Rouslan Olikhver
3505,Aleksey Kuleshov
3505,Yevgueni Mitkov
3525,Petra Wimbersky
3525,Navina Omilade
3525,Martina Müller
3525,Sonja Fuss
3525,Steffi Jones
3525,Conny Pohlers
3525,Nadine Angerer
3525,Kerstin Stegemann
3525,Kerstin Garefrekes
3525,Viola Odebrecht
3525,Birgit Prinz
3525,Ariane Hingst
3525,Isabell Bachor
3525,Sandra Minnert
3525,Sarah Günther
3525,Renate Lingor
3525,Silke Rottenberg
